,date_time,user_name,in_out,user_class
0,2023-07-21 11:53:46,깃이-노비스,IN,노비스
1,2023-07-21 11:53:51,엄지척 어피치,OUT,Not defined
2,2023-07-21 11:53:52,오복이언니-워드프레스수강생,IN,수강생
3,2023-07-21 11:54:38,마에-노비스,IN,노비스
4,2023-07-21 11:55:27,플레인-노비스,IN,노비스
5,2023-07-21 11:55:39,순선생 - seo수강생,IN,수강생
6,2023-07-21 11:55:50,카라뜨 - 노비스,IN,노비스
7,2023-07-21 11:57:50,고라니-노비스,IN,노비스
8,2023-07-21 11:58:08,세나-워프 수강생,IN,수강생
9,2023-07-21 11:58:38,주하담 - SEO 수강생,IN,수강생
10,2023-07-21 11:59:47,홍티-노비스,IN,노비스
11,2023-07-21 12:00:06,주하담 - SEO 수강생,OUT,수강생
12,2023-07-21 12:00:41,ACTGETIT-노비스,IN,노비스
13,2023-07-21 12:00:52,이엘 - 노비스,IN,노비스
14,2023-07-21 12:01:18,스카이워커_워프수강생,IN,수강생
15,2023-07-21 12:01:20,초롱튜브,IN,Not defined
16,2023-07-21 12:02:52,에코-노비스,IN,노비스
17,2023-07-21 12:03:13,Da7588-노비스,IN,노비스
18,2023-07-21 12:03:26,아이스조다-노비스,IN,노비스
19,2023-07-21 12:06:29,프로미스 - 노비스,IN,노비스
20,2023-07-21 12:06:58,장군-노비스,IN,노비스
21,2023-07-21 12:07:23,지로 - 워프 수강생,IN,수강생
22,2023-07-21 12:08:58,선풍기 바람 쐬는 어피치,IN,Not defined
23,2023-07-21 12:09:31,아푸 - 노비스,IN,노비스
24,2023-07-21 12:11:05,이공팔공골퍼 @2080_golfer,IN,Not defined
25,2023-07-21 12:11:54,kkp-노비스,IN,노비스
26,2023-07-21 12:12:22,우르스오너가될거얏-노비스,IN,노비스
27,2023-07-21 12:14:28,아라블로그-노비스,IN,노비스
28,2023-07-21 12:16:02,네자매맘(노비스),IN,노비스
29,2023-07-21 12:16:11,네자매맘(노비스),OUT,노비스
30,2023-07-21 12:16:30,네자매맘(노비스),IN,노비스
31,2023-07-21 12:16:59,님즈 -노비스,IN,노비스
32,2023-07-21 12:17:25,joee -노비스,IN,노비스
33,2023-07-21 12:17:40,에디루-노비스,IN,노비스
34,2023-07-21 12:19:08,벼리-노비스,IN,노비스
35,2023-07-21 12:19:20,알비오 - SEO 수강생,IN,수강생
36,2023-07-21 12:19:53,세렝,IN,Not defined
37,2023-07-21 12:20:42,재필각 - 워프 수강생,IN,수강생
38,2023-07-21 12:24:12,Ethan seo수강생,IN,수강생
39,2023-07-21 12:24:30,초롱초롱 무지 - seo수강생,IN,수강생
40,2023-07-21 12:25:37,보기맘-노비스,IN,노비스
41,2023-07-21 12:26:34,리얼플라이-노비스,IN,노비스
42,2023-07-21 12:27:00,별별 - 노비스,IN,노비스
43,2023-07-21 12:27:10,마드라스 - 노비스,IN,노비스
44,2023-07-21 12:29:22,⛤ 워프수강생,IN,수강생
45,2023-07-21 12:30:01,enigmaaa-워프수강생,IN,수강생
46,2023-07-21 12:31:10,치성 - 노비스,IN,노비스
47,2023-07-21 12:31:48,제니팍-노비스,IN,노비스
48,2023-07-21 12:33:00,한요한-노비스,IN,노비스
49,2023-07-21 12:35:07,5후난-노비스,IN,노비스
50,2023-07-21 12:35:59,혁2 - 노비스,IN,노비스
51,2023-07-21 12:36:31,윤쓰,IN,Not defined
52,2023-07-21 12:36:57,곰곰곰 - 워프 수강생,IN,수강생
53,2023-07-21 12:37:43,반도 - 워프수강생,IN,수강생
54,2023-07-21 12:37:47,miamigo - 노비스,IN,노비스
55,2023-07-21 12:37:51,애둘센스-노비스,IN,노비스
56,2023-07-21 12:37:59,개미 - seo수강생,IN,수강생
57,2023-07-21 12:40:01,Noah - 노비스,IN,노비스
58,2023-07-21 12:40:57,라이프프리덤 - 노비스,IN,노비스
59,2023-07-21 12:48:07,클리크72-노비스,IN,노비스
60,2023-07-21 12:48:38,전 갑니다-노비스,IN,노비스
61,2023-07-21 12:49:55,35m - 노비스,IN,노비스
62,2023-07-21 12:50:17,쿠로미-워프수강생,IN,수강생
63,2023-07-21 12:51:35,진하 -노비스,IN,노비스
64,2023-07-21 12:51:39,배재한 -노비스,IN,노비스
65,2023-07-21 12:53:27,기뻐하는 라이언,IN,Not defined
66,2023-07-21 12:54:31,쀼뀨팡-노비스,IN,노비스
67,2023-07-21 12:58:17,계두국수-노비스,IN,노비스
68,2023-07-21 12:59:03,보티첼리-SEO수강생,IN,수강생
69,2023-07-21 13:01:48,제시카09-워프수강생,IN,수강생
70,2023-07-21 13:02:37,주하담 - SEO 수강생,IN,수강생
71,2023-07-21 13:03:01,가디언즈 - 노비스,IN,노비스
72,2023-07-21 13:04:44,정현호-노비스,IN,노비스
73,2023-07-21 13:04:48,대구멋재이-노비스,IN,노비스
74,2023-07-21 13:06:55,배당귀족-노비스,IN,노비스
75,2023-07-21 13:07:01,맥너겟 - 워프 수강생,IN,수강생
76,2023-07-21 13:08:03,연단 - 워프 수강생,IN,수강생
77,2023-07-21 13:11:41,잠실집돌이,IN,Not defined
78,2023-07-21 13:12:46,초코우유 -노비스,IN,노비스
79,2023-07-21 13:13:24,노비스-워프수강생,IN,노비스
80,2023-07-21 13:13:35,치큼이 - 노비스,IN,노비스
81,2023-07-21 13:13:47,태평양금붕어-노비스,IN,노비스
82,2023-07-21 13:16:05,귀감 - 노비스,IN,노비스
83,2023-07-21 13:24:26,부자들과 함께-노비스,IN,노비스
84,2023-07-21 13:25:47,윈즈-노비스,IN,노비스
85,2023-07-21 13:26:51,목표는성공-노비스,IN,노비스
86,2023-07-21 13:31:10,김아 노비스,IN,노비스
87,2023-07-21 13:31:48,마르첼라-노비스,IN,노비스
88,2023-07-21 13:32:38,소라/노비스,IN,노비스
89,2023-07-21 13:34:00,가담 - SEO 수강생,IN,수강생
90,2023-07-21 13:34:18,dyy-노비스,IN,노비스
91,2023-07-21 13:35:00,쿡이-수강생,IN,수강생
92,2023-07-21 13:35:05,월리 - 노비스,IN,노비스
93,2023-07-21 13:35:31,레이나7-노비스,IN,노비스
94,2023-07-21 13:35:42,골드래빗-노비스,IN,노비스
95,2023-07-21 13:36:53,지룽-노비스,IN,노비스
96,2023-07-21 13:38:21,싸비터치 - 노비스,IN,노비스
97,2023-07-21 13:39:53,꾸씨-노비스,IN,노비스
98,2023-07-21 13:40:48,진짜베기 - 테이커,IN,테이커
99,2023-07-21 13:44:35,노마드 - 노비스,IN,노비스
100,2023-07-21 13:45:02,쏘니헨리 - 워프 수강생,IN,수강생
101,2023-07-21 13:45:40,홀맨 - SEO 수강생,IN,수강생
102,2023-07-21 13:55:46,남해술대장-노비스,IN,노비스
103,2023-07-21 13:57:13,빈이파파-노비스,IN,노비스
104,2023-07-21 13:57:36,빈이파파-노비스,OUT,노비스
105,2023-07-21 13:57:59,빈이파파-노비스,IN,노비스
106,2023-07-21 13:58:43,이맘쯤ㅡ노비스,IN,노비스
107,2023-07-21 13:58:57,현 쟌 - 노비스,IN,노비스
108,2023-07-21 13:59:07,늘하-워프 수강생,IN,수강생
109,2023-07-21 14:00:52,kaiem-노비스,IN,노비스
110,2023-07-21 14:02:47,김희도-워프수강,IN,Not defined
111,2023-07-21 14:02:48,큰청 - SEO 수강생,IN,수강생
112,2023-07-21 14:08:30,야우키후-노비스,IN,노비스
113,2023-07-21 14:09:52,빌라넬-메쳐,IN,Not defined
114,2023-07-21 14:11:23,나는야상어왕 - seo수강생,IN,수강생
115,2023-07-21 14:13:40,현 - SEO수강생,IN,수강생
116,2023-07-21 14:15:04,코코맘-노비스,IN,노비스
117,2023-07-21 14:16:16,넴진-노비스,IN,노비스
118,2023-07-21 14:20:00,사용중입니-노비스,IN,노비스
119,2023-07-21 14:22:32,링리랑-노비스,IN,노비스
120,2023-07-21 14:26:44,꼭짓점 - seo 수강생,IN,수강생
121,2023-07-21 14:27:11,김그림 - 노마드,IN,Not defined
122,2023-07-21 14:28:09,KWONJONES - 워프 수강생,IN,수강생
123,2023-07-21 14:39:19,효나-노비스,IN,노비스
124,2023-07-21 14:43:42,슈셔린-노비스,IN,노비스
125,2023-07-21 14:45:56,하르하르,IN,Not defined
126,2023-07-21 14:56:07,오아시스 - 노비스,IN,노비스
127,2023-07-21 14:57:59,포텐몬 - SEO 수강생,IN,수강생
128,2023-07-21 14:58:51,행킹 - 매처,IN,매처
129,2023-07-21 14:58:54,포텐몬 - SEO 수강생,OUT,수강생
130,2023-07-21 15:00:15,포텐몬 - SEO 수강생,IN,수강생
131,2023-07-21 15:07:19,노마드햇병아리 - 노비스,IN,노비스
132,2023-07-21 15:07:44,별을 찾아서 - seo 수강생,IN,수강생
133,2023-07-21 15:12:49,딸기야아 - SEO수강생,IN,수강생
134,2023-07-21 15:15:49,뉴웨이크 - 노비스,IN,노비스
135,2023-07-21 15:17:29,정성우 - SEO수강생,IN,수강생
136,2023-07-21 15:27:00,프레 - SEO수강생,IN,수강생
137,2023-07-21 15:32:28,콩두부남편-워프수강생,IN,수강생
138,2023-07-21 15:35:13,해적펭귄-노비스,IN,노비스
139,2023-07-21 15:40:07,훈꿍 - 노비스,IN,노비스
140,2023-07-21 15:46:44,오늘이마지막이야 - 노비스,IN,노비스
141,2023-07-21 15:50:46,연화 -노비스,IN,노비스
142,2023-07-21 15:52:22,김갬이-노비스,IN,노비스
143,2023-07-21 15:52:47,용,IN,Not defined
144,2023-07-21 15:54:25,바미애미-노비스,IN,노비스
145,2023-07-21 15:56:41,솜-워프수강생,IN,수강생
146,2023-07-21 15:59:02,well,IN,Not defined
147,2023-07-21 15:59:50,벤치프레스 - 노비스,IN,노비스
148,2023-07-21 16:03:12,미나밍-노비스,IN,노비스
149,2023-07-21 16:07:54,이혜미-워프 수강생,IN,수강생
150,2023-07-21 16:08:00,지니맘-워프수강생,IN,수강생
151,2023-07-21 16:10:25,메리 - 노비스,IN,노비스
152,2023-07-21 16:10:25,다이룸 - 노비스,IN,노비스
153,2023-07-21 16:10:30,가자-노비스,IN,노비스
154,2023-07-21 16:14:55,나나M-노비스,IN,노비스
155,2023-07-21 16:15:46,포도딸기-노비스,IN,노비스
156,2023-07-21 16:29:12,0.01달러 - 노비스,IN,노비스
157,2023-07-21 16:31:04,Baram,IN,Not defined
158,2023-07-21 16:31:12,지노 - 노비스,IN,노비스
159,2023-07-21 16:31:47,페르미-노비스,IN,노비스
160,2023-07-21 16:33:33,요이후-노비스,IN,노비스
161,2023-07-21 16:39:04,우정사랑평화 - seo 수강생,IN,수강생
162,2023-07-21 16:40:23,청룡 - 워프수강생,IN,수강생
163,2023-07-21 16:42:32,꼬마회장-노비스,IN,노비스
164,2023-07-21 16:42:40,James - 노비스,IN,노비스
165,2023-07-21 16:44:01,은남-노비스,IN,노비스
166,2023-07-21 16:50:36,삼동시 - 노비스,IN,노비스
167,2023-07-21 16:53:16,우진 - 노비스,IN,노비스
168,2023-07-21 16:54:03,꼬마이엔티 - 노비스,IN,노비스
169,2023-07-21 16:55:21,워프왕 - 워프수강생,IN,수강생
170,2023-07-21 17:01:01,포기하지않는마음-노비스,IN,노비스
171,2023-07-21 17:01:35,룰루-SEO수강생,IN,수강생
172,2023-07-21 17:07:00,호랑 - 노비스,IN,노비스
173,2023-07-21 17:09:08,경제적자유-워프수강생,IN,수강생
174,2023-07-21 17:18:55,힐러즈-노비스,IN,노비스
175,2023-07-21 17:28:00,김꼬꼬 - 노비스,IN,노비스
176,2023-07-21 17:28:22,내천직,IN,Not defined
177,2023-07-21 17:30:53,곰소니 - 노비스,IN,노비스
178,2023-07-21 17:36:24,작하-노비스,IN,노비스
179,2023-07-21 17:47:25,백석영-노비스,IN,노비스
180,2023-07-21 17:49:40,노마드현,IN,Not defined
181,2023-07-21 17:49:57,Soo - 노비스,IN,노비스
182,2023-07-21 17:57:25,맘뚜레 워프수강생,IN,수강생
183,2023-07-21 18:00:34,뉴뜨-워프 수강생,IN,수강생
184,2023-07-21 18:02:51,성공ING - 워프수강생,IN,수강생
185,2023-07-21 18:03:12,빰빰빠라빰- 워프 수강생,IN,수강생
186,2023-07-21 18:08:45,최은혜 - SEO수강생,IN,수강생
187,2023-07-21 18:12:09,cocomom0711- 워프수강생,IN,수강생
188,2023-07-21 18:13:13,유일 - 노비스,IN,노비스
189,2023-07-21 18:13:27,Yg1008 - 워프수강생,IN,수강생
190,2023-07-21 18:16:02,꿈종 - 워드프레스 수강생,IN,수강생
191,2023-07-21 18:17:11,대딩대딩 노비스,IN,노비스
192,2023-07-21 18:18:26,낙타_노비스,IN,노비스
193,2023-07-21 18:20:46,인생은노른자,IN,Not defined
194,2023-07-21 18:20:56,뽀단스 - 워프수강생,IN,수강생
195,2023-07-21 18:39:06,dia-노비스,IN,노비스
196,2023-07-21 18:51:23,오픈채팅봇,OUT,Bot
197,2023-07-21 19:08:44,토리닥,IN,Not defined
198,2023-07-21 19:17:09,위고하이,IN,Not defined
199,2023-07-21 19:30:00,슈어걸-노비스,IN,노비스
200,2023-07-21 19:31:58,사표내는날-노비스,IN,노비스
201,2023-07-21 19:32:13,인간비타민 -노비스,IN,노비스
202,2023-07-21 19:32:46,머리 빗는 네오,IN,Not defined
203,2023-07-21 19:35:44,스타셀77-노비스,IN,노비스
204,2023-07-21 19:35:52,민마드-노비스,IN,노비스
205,2023-07-21 19:43:11,꼬마여비-노비스,IN,노비스
206,2023-07-21 19:44:54,프로도-워프수강생,IN,수강생
207,2023-07-21 20:09:51,말썽쟁이 네오,IN,Not defined
208,2023-07-21 20:11:16,뜨끈하다잉 - 노비스,IN,노비스
209,2023-07-21 20:15:53,해내야지-매처,IN,매처
210,2023-07-21 20:16:13,김준표,IN,Not defined
211,2023-07-21 20:30:41,아기강아지-노비스,IN,노비스
212,2023-07-21 20:32:13,운동하는 라이언,IN,Not defined
213,2023-07-21 20:32:50,운동하는 라이언,OUT,Not defined
214,2023-07-21 20:34:07,phinple - 워드프레스 수강생,IN,수강생
215,2023-07-21 20:41:50,역전 - 노비스,IN,노비스
216,2023-07-21 20:54:48,엄지척 제이지,IN,Not defined
217,2023-07-21 20:56:17,관태하-노비스,IN,노비스
218,2023-07-21 21:11:15,김태준 - 노비스,IN,노비스
219,2023-07-21 21:20:17,꿈꾸는말-노비스,IN,노비스
220,2023-07-21 21:22:31,건자 - 노비스,IN,노비스
221,2023-07-21 21:23:20,Hope-노비스,IN,노비스
222,2023-07-21 21:32:41,중윤- seo 수강생,IN,수강생
223,2023-07-21 21:33:22,티안림 - 노비스,IN,노비스
224,2023-07-21 21:44:54,흙수저탈출하기-노비스,IN,노비스
225,2023-07-21 21:46:23,밤한톨-노비스,IN,노비스
226,2023-07-21 21:48:35,루비망고-노비스,IN,노비스
227,2023-07-21 21:48:48,작은언니_워프수강생,IN,수강생
228,2023-07-21 21:54:45,가리-노비스,IN,노비스
229,2023-07-21 21:54:57,GoodDay-노비스,IN,노비스
230,2023-07-21 21:58:44,챙주-노비스,IN,노비스
231,2023-07-21 22:01:03,군포24-노비스,IN,노비스
232,2023-07-21 22:36:17,김세모 - 노비스,IN,노비스
233,2023-07-21 22:37:53,인사하는 제이지,IN,Not defined
234,2023-07-21 22:38:12,인사하는 제이지,OUT,Not defined
235,2023-07-21 22:40:13,하코스-워프 수강생,IN,수강생
236,2023-07-21 22:41:00,카이든 -SEO 수강생,IN,수강생
237,2023-07-21 22:52:55,.,IN,Not defined
238,2023-07-21 22:59:35,비둘기- 워프수강생,IN,수강생
239,2023-07-21 23:33:59,로기 - seo 수강생,IN,수강생
240,2023-07-21 23:40:22,대홍 - SEO 수강생,IN,수강생
241,2023-07-21 23:42:14,ㄱ,IN,Not defined
242,2023-07-21 23:47:53,룰루v랄라-노비스,IN,노비스
243,2023-07-22 00:06:57,킹리치대디-SEO 수강생,IN,수강생
244,2023-07-22 00:30:36,이의찬 - 노비스,IN,노비스
245,2023-07-22 00:32:01,아이노-노비스,IN,노비스
246,2023-07-22 00:44:43,서재호 - 워프 수강생,IN,수강생
247,2023-07-22 00:55:00,비다상 - 노비스,IN,노비스
248,2023-07-22 00:55:39,봄날벚꽃 - 노비스,IN,노비스
249,2023-07-22 01:32:40,이기중 -SEO수강생,IN,수강생
250,2023-07-22 01:33:59,리리오-노비스,IN,노비스
251,2023-07-22 01:46:07,뜐댕이-노비스,IN,노비스
252,2023-07-22 02:25:08,쟈쟈쟌_노비스,IN,노비스
253,2023-07-22 03:51:04,거북이거북이 - 노비스,IN,노비스
254,2023-07-22 05:08:40,초업가-노비스,IN,노비스
255,2023-07-22 06:08:24,로로비-노비스,IN,노비스
256,2023-07-22 07:18:28,그린슈즈-노비스,IN,노비스
257,2023-07-22 07:23:49,터틀-노비스,IN,노비스
258,2023-07-22 07:26:47,로워드 - 개발자 1,IN,Not defined
259,2023-07-22 09:12:21,우렁 - 노마드,IN,Not defined
260,2023-07-22 09:15:49,다모토리-노비스,IN,노비스
261,2023-07-22 09:26:50,BB-SEO수강생,IN,수강생
262,2023-07-22 09:31:50,킁킁냠냠-노비스,IN,노비스
263,2023-07-22 09:47:39,수수 - 노비스,IN,노비스
264,2023-07-22 09:51:53,안이프-워프수강생,IN,수강생
265,2023-07-22 09:53:22,경례하는 프로도,IN,Not defined
266,2023-07-22 09:58:26,승미닝 - 노비스,IN,노비스
267,2023-07-22 10:25:44,국가유공자-노비스,IN,노비스
268,2023-07-22 10:26:47,럭키도도,IN,Not defined
269,2023-07-22 10:55:14,제라드04 - 노비스,IN,노비스
270,2023-07-22 10:55:32,찌니마미-노비스,IN,노비스
271,2023-07-22 11:17:51,에반-노비스,IN,노비스
272,2023-07-22 11:32:14,하이유정-노비스,IN,노비스
273,2023-07-22 11:41:01,하입보이 - 워프수강생,IN,수강생
274,2023-07-22 11:46:09,투위스투-노비스,IN,노비스
275,2023-07-22 11:47:41,DGYEOM - 노비스,IN,노비스
276,2023-07-22 12:10:33,포비 - SEO수강생,IN,수강생
277,2023-07-22 12:11:19,라스컬 - 노비스,IN,노비스
278,2023-07-22 12:15:48,란란라 - 워프수강생,IN,수강생
279,2023-07-22 12:28:15,갓생 - 노비스,IN,노비스
280,2023-07-22 12:43:39,노비스 안삐삐,IN,노비스
281,2023-07-22 12:44:09,라마타임-노비스,IN,노비스
282,2023-07-22 12:47:32,sss333-노비스,IN,노비스
283,2023-07-22 13:09:49,최민준mj-노비스,IN,노비스
284,2023-07-22 13:22:52,감말랭-노비스,IN,노비스
285,2023-07-22 13:48:43,뉴리프 - 노비스,IN,노비스
286,2023-07-22 13:58:52,로알남따라기,IN,Not defined
287,2023-07-22 14:13:05,Prime JW - 노비스,IN,노비스
288,2023-07-22 14:22:10,디노모드 - 노비스,IN,노비스
289,2023-07-22 14:58:47,Hyper1/노비스,IN,노비스
290,2023-07-22 15:00:01,화니-노비스,IN,노비스
291,2023-07-22 15:43:47,평생배우는기버 - 노비스,IN,노비스
292,2023-07-22 15:48:50,목표100억-노비스,IN,노비스
293,2023-07-22 15:59:13,대장과일,IN,Not defined
294,2023-07-22 16:03:55,디지털세계-노비스,IN,노비스
295,2023-07-22 16:07:36,bebeyond - 노비스,IN,노비스
296,2023-07-22 16:11:33,민쓰-노비스,IN,노비스
297,2023-07-22 16:23:51,엄지척-노비스,IN,노비스
298,2023-07-22 16:37:30,윤루카스 - 유니콘,IN,유니콘
299,2023-07-22 16:43:12,벤더라-노비스,IN,노비스
300,2023-07-22 16:43:57,바록드 - 노비스,IN,노비스
301,2023-07-22 16:45:28,MUNGA-노비스,IN,노비스
302,2023-07-22 17:39:26,정수르-노비스,IN,노비스
303,2023-07-22 17:44:56,다올-seo수강생,IN,수강생
304,2023-07-22 18:01:57,자이자-노비스,IN,노비스
305,2023-07-22 18:02:31,파이팅하는 무지,IN,Not defined
306,2023-07-22 19:18:57,3개국어-노비스,IN,노비스
307,2023-07-22 19:27:18,불타는단-seo수강생,IN,수강생
308,2023-07-22 19:46:28,껌딱지-노비스,IN,노비스
309,2023-07-22 20:23:13,러블리선-노비스,IN,노비스
310,2023-07-22 20:30:15,Lifegiver-노비스,IN,노비스
311,2023-07-22 20:49:31,suk,IN,Not defined
312,2023-07-22 21:07:59,써니-seo 수강생,IN,수강생
313,2023-07-22 21:29:36,프렌즈,IN,Not defined
314,2023-07-22 21:51:23,이준혁 - 노비스,IN,노비스
315,2023-07-22 21:58:22,오픈채팅봇,IN,Bot
316,2023-07-22 22:08:23,빛락 - 노비스,IN,노비스
317,2023-07-22 23:10:31,로알봇,IN,Bot
318,2023-07-22 23:44:07,지노 - 노비스,OUT,노비스
319,2023-07-23 00:17:11,주완-노비스,IN,노비스
320,2023-07-23 00:22:00,세계장악,IN,Not defined
321,2023-07-23 00:27:51,서여사님-노비스,IN,노비스
322,2023-07-23 01:30:15,브랜트 - 노비스,IN,노비스
323,2023-07-23 02:51:56,부끄러운 어피치,IN,Not defined
324,2023-07-23 03:47:50,요슬시계-노비스,IN,노비스
325,2023-07-23 08:58:46,봄이아빠b-노비스,IN,노비스
326,2023-07-23 09:17:15,자유-노비스,IN,노비스
327,2023-07-23 09:24:14,머니메이커스-워프수강생,IN,수강생
328,2023-07-23 09:24:27,산타클로니,IN,Not defined
329,2023-07-23 09:46:39,SHINE-seo수강생,IN,수강생
330,2023-07-23 11:00:25,츄-노비스,IN,노비스
331,2023-07-23 11:16:22,보리수-노비스,IN,노비스
